model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
llama,entropy_slope,-0.09747726884269035,3.7911580523362084e-09,0.3620838812815238,0.6379161187184762,lower_more_failure,3640
llama,entropy_std,0.07054885750342767,2.04216963762601e-05,0.5742601744321785,0.5742601744321785,higher_more_failure,3640
llama,failure_risk,0.0021646000231640866,0.8961306337695111,0.5038089650974337,0.5038089650974337,higher_more_failure,3640
llama,failure_risk_is_zero,-0.00944019016884925,0.5691074357986927,0.4929160805142124,0.5070839194857877,lower_more_failure,3640
llama,focused_head_mean,-0.22226963706710462,5.5872480996821063e-42,0.27543873352016635,0.7245612664798337,lower_more_failure,3640
llama,focused_head_mean_zscore,-0.22226963706710465,5.5872480996821063e-42,0.27543873352016635,0.7245612664798337,lower_more_failure,3640
llama,focused_head_rate,-0.22226963706710462,5.5872480996821063e-42,0.27543873352016635,0.7245612664798337,lower_more_failure,3640
llama,hidden_max_abs_last_layer_mean,-0.05129194042902366,0.001964540492092083,0.44158950112872375,0.5584104988712763,lower_more_failure,3640
llama,hidden_max_abs_last_layer_mean_zscore,-0.05129194042902368,0.001964540492092083,0.44158950112872375,0.5584104988712763,lower_more_failure,3640
llama,hidden_std_last_layer_mean,0.08559979430727883,2.3139909932237966e-07,0.5707869823640629,0.5707869823640629,higher_more_failure,3640
llama,hidden_std_last_layer_mean_zscore,0.08559979430727885,2.3139909932237966e-07,0.5707869823640629,0.5707869823640629,higher_more_failure,3640
llama,high_entropy_frac,-0.05023508111597958,0.0024319946225841603,0.42605819443253506,0.573941805567465,lower_more_failure,3640
llama,high_entropy_steps,-0.051305423366671495,0.0019591497269659665,0.42386611867602697,0.576133881323973,lower_more_failure,3640
llama,l2_norm_cross_layer_max,-0.03544058072688036,0.032504327304771305,0.44020947822314516,0.5597905217768548,lower_more_failure,3640
llama,l2_norm_cross_layer_max_zscore,-0.035440580726880354,0.032504327304771305,0.44020947822314516,0.5597905217768548,lower_more_failure,3640
llama,l2_norm_last_layer_mean,0.0852824733917661,2.564617319916407e-07,0.5702877799841919,0.5702877799841919,higher_more_failure,3640
llama,l2_norm_last_layer_mean_zscore,0.08528247339176608,2.564617319916407e-07,0.5702877799841919,0.5702877799841919,higher_more_failure,3640
llama,l2_norm_slope,-0.02143407222373173,0.1960547621761012,0.4602977046029346,0.5397022953970654,lower_more_failure,3640
llama,late50p_entropy_mean,0.07137629918548132,1.6301596708610016e-05,0.5581379751230814,0.5581379751230814,higher_more_failure,3640
llama,late50p_margin_mean,-0.09548148656452118,7.84103697733362e-09,0.42483990291023105,0.575160097089769,lower_more_failure,3640
llama,late50p_surprisal_mean,0.06844802889126705,3.579588753351678e-05,0.5559467483502125,0.5559467483502125,higher_more_failure,3640
llama,margin_diff_std,0.1562721026383115,2.4624292204630442e-21,0.6481718410804505,0.6481718410804505,higher_more_failure,3640
llama,margin_early_late_delta,0.12797668480746002,9.161949288379056e-15,0.6444201823786654,0.6444201823786654,higher_more_failure,3640
llama,margin_mean,-0.17592979041535978,1.0842778972439406e-26,0.3361194146427604,0.6638805853572396,lower_more_failure,3640
llama,margin_min,-0.07410279493582254,7.626170010840543e-06,0.42780243131934603,0.572197568680654,lower_more_failure,3640
llama,margin_range,0.07410279493582264,7.626170010840543e-06,0.572197568680654,0.572197568680654,higher_more_failure,3640
llama,margin_slope,0.10208193981209751,6.706333274003735e-10,0.635260497894945,0.635260497894945,higher_more_failure,3640
llama,margin_std,0.1650658872843419,1.192773166840719e-23,0.6576609312161946,0.6576609312161946,higher_more_failure,3640
llama,max_compound_severity,-0.015136397747311611,0.36126671632687507,0.4930302688136897,0.5069697311863103,lower_more_failure,3640
llama,n_compound_signals,-0.015136397747311594,0.36126671632687507,0.4930302688136897,0.5069697311863103,lower_more_failure,3640
llama,n_warning_signals,0.005449230228909491,0.7424166768637188,0.5062485195847791,0.5062485195847791,higher_more_failure,3640
llama,perplexity_max,-0.10332870714767883,4.1398739074089786e-10,0.40293570052611516,0.5970642994738848,lower_more_failure,3640
