model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
mistral7b,correct,l2_norm_cross_layer_max_zscore,0.40782750620778646,0.5921724937922135,lower,3640,423
mistral7b,correct,l2_norm_last_layer_mean,0.4641616530385636,0.5358383469614364,lower,3640,423
mistral7b,correct,l2_norm_last_layer_mean_zscore,0.4641616530385636,0.5358383469614364,lower,3640,423
mistral7b,correct,l2_norm_slope,0.4886532906228803,0.5113467093771197,lower,3640,423
mistral7b,correct,late50p_entropy_mean,0.4553575824649046,0.5446424175350955,lower,3640,423
mistral7b,correct,late50p_margin_mean,0.542343754478094,0.542343754478094,higher,3640,423
mistral7b,correct,late50p_surprisal_mean,0.4596727197637257,0.5403272802362743,lower,3640,423
mistral7b,correct,margin_diff_std,0.48543236984959487,0.5145676301504052,lower,3640,423
mistral7b,correct,margin_early_late_delta,0.5469010303566088,0.5469010303566088,higher,3640,423
mistral7b,correct,margin_mean,0.5427622610672762,0.5427622610672762,higher,3640,423
mistral7b,correct,margin_min,0.5481833727589321,0.5481833727589321,higher,3640,423
mistral7b,correct,margin_range,0.45181662724106786,0.5481833727589321,lower,3640,423
mistral7b,correct,margin_slope,0.5394017156198123,0.5394017156198123,higher,3640,423
mistral7b,correct,margin_std,0.4560369667347888,0.5439630332652112,lower,3640,423
mistral7b,correct,max_compound_severity,0.4890100684087417,0.5109899315912583,lower,3640,423
mistral7b,correct,n_compound_signals,0.4890100684087417,0.5109899315912583,lower,3640,423
mistral7b,correct,n_warning_signals,0.5445946511991923,0.5445946511991923,higher,3640,423
