model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
qwen,gsm8k,hidden_std_last_layer_mean,0.5785832872163807,4.954197952775576,5.026458330107058,0.0722603773314816,104,278
qwen,gsm8k,hidden_std_last_layer_mean_zscore,0.5785832872163807,-0.8166072034839662,-0.5261064290403296,0.29050077444363664,104,278
qwen,gsm8k,l2_norm_cross_layer_max,0.5352967625899281,473.6108008164626,473.61384955756097,0.0030487410983823793,104,278
qwen,gsm8k,l2_norm_cross_layer_max_zscore,0.5352967625899281,-0.22266935564135906,-0.2225956303790353,7.372526232377052e-05,104,278
qwen,gsm8k,l2_norm_last_layer_mean,0.5785832872163807,296.56145719180955,300.88745291516784,4.3259957233582895,104,278
qwen,gsm8k,l2_norm_last_layer_mean_zscore,0.5785832872163807,-0.8160819756532167,-0.5254896564829731,0.29059231917024364,104,278
qwen,gsm8k,l2_norm_slope,0.5173976203652463,-0.0771525236032095,-0.076237408575707,0.0009151150275024944,104,278
qwen,gsm8k,late50p_entropy_mean,0.5004842280022136,0.05754999433850234,0.05613010711516783,-0.0014198872233345053,104,278
qwen,gsm8k,late50p_margin_mean,0.505084394023243,0.9709103304237806,0.9723095229220268,0.00139919249824616,104,278
qwen,gsm8k,late50p_surprisal_mean,0.5019369120088545,0.05567700879593403,0.05551756330837581,-0.00015944548755821714,104,278
qwen,gsm8k,margin_diff_std,0.5586607636967349,0.2474907690738555,0.25577723039728617,0.008286461323430666,104,278
qwen,gsm8k,margin_early_late_delta,0.5147689540675152,0.1324413297821672,0.1368091435549459,0.0043678137727787,104,278
qwen,gsm8k,margin_min,0.53856530160487,0.010388243227050854,0.004208598312714117,-0.006179644914336737,104,278
qwen,gsm8k,margin_range,0.5385653016048699,0.9896117567729491,0.9957914016872859,0.006179644914336757,104,278
qwen,gsm8k,margin_slope,0.5175013835085778,0.0003692517553258595,0.00038094236276473156,1.1690607438872062e-05,104,278
qwen,gsm8k,margin_std,0.5636068068622025,0.20094101912280432,0.20808804507599396,0.00714702595318964,104,278
qwen,gsm8k,max_compound_severity,0.5125899280575539,0.4,0.38992805755395676,-0.010071942446043258,104,278
qwen,gsm8k,n_compound_signals,0.5125899280575539,1.0,0.9748201438848921,-0.025179856115107868,104,278
qwen,gsm8k,n_warning_signals,0.5034241837299391,0.14423076923076922,0.1510791366906475,0.0068483674598782684,104,278
qwen,gsm8k,perplexity_max,0.5645925567238517,6.069975926632592,6.266315979747318,0.19634005311472524,104,278
qwen,gsm8k,perplexity_mean,0.5807969009407858,1.1665221034144837,1.180074262012734,0.013552158598250319,104,278
qwen,gsm8k,risk_score,0.519472883231876,0.40175820206865526,0.39435544042802856,-0.007402761640626698,104,278
qwen,gsm8k,risk_score_is_zero,0.5071942446043165,0.0,0.014388489208633094,0.014388489208633094,104,278
qwen,gsm8k,surprisal_diff_std,0.5572080796900941,0.6785626081130334,0.7081462955010569,0.029583687388023527,104,278
qwen,gsm8k,surprisal_early_late_delta,0.5057761483121196,-0.2637926899258857,-0.2693911810114305,-0.005598491085544777,104,278
