model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
mixtral,humaneval,attn_entropy_norm_std,0.104388621759368,0.10422702551650824,-0.00016159624285976004
mixtral,humaneval,collapsed_rate_mean,0.022193294984662163,0.02223851015583287,4.521517117070731e-05
mixtral,humaneval,collapsed_rate_mean_zscore,0.8513041309651372,0.8684997919289703,0.01719566096383307
mixtral,humaneval,compound_density_per_100t,0.6553665744852923,0.6653499023684177,0.009983327883125392
mixtral,humaneval,concentration_max_mean,0.9438301152663588,0.9436518983061121,-0.0001782169602467798
mixtral,humaneval,concentration_min_mean,0.14884439478487124,0.15258980736746688,0.003745412582595642
mixtral,humaneval,cs_attention_bottleneck,0.0,0.0,0.0
mixtral,humaneval,cs_confident_confusion,0.0,0.0,0.0
mixtral,humaneval,cs_confident_repetition_risk,0.9493827160493827,0.908641975308642,-0.040740740740740744
mixtral,humaneval,cs_context_loss,0.0,0.0,0.0
mixtral,humaneval,cs_degenerating_generation,0.0,0.0,0.0
mixtral,humaneval,early10_entropy_mean,0.595378428798003,0.6785133383525492,0.08313490955454628
mixtral,humaneval,early10_entropy_slope,-0.08274987962334307,-0.10522575814121171,-0.02247587851786864
mixtral,humaneval,early10_margin_mean,0.7731093215131914,0.7503576458749377,-0.022751675638253754
mixtral,humaneval,early10_margin_slope,0.022626438923835136,0.029418858145557007,0.006792419221721871
